Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
INV-18208200048,03/19/2019,2549,HY-VEE FOOD STORE / INDIANOLA,910 N JEFFERSON,INDIANOLA,50125,,91,WARREN,1012100,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11297,CROWN ROYAL,12,1000,18.89,28.34,12,340.08,12,3.17
INV-17911900135,03/05/2019,2549,HY-VEE FOOD STORE / INDIANOLA,910 N JEFFERSON,INDIANOLA,50125,,91,WARREN,1062400,SPICED RUM,260,DIAGEO AMERICAS,1799,CAPTAIN MORGAN SPICED BARREL,6,1750,18,27,378,10206,661.5,174.74
INV-18045900173,03/11/2019,2560,HY-VEE FOOD STORE / MARION,3600 BUSINESS HWY 151 EAST,MARION,52302,,57,LINN,1011100,BLENDED WHISKIES,297,LAIRD & COMPANY,23826,FIVE STAR,12,750,3.5,5.25,12,63,9,2.37
INV-17938900016,03/05/2019,5004,IDA GROVE FOOD PRIDE,200 SUSAN LAWRENCE DR,IDA GROVE,51445,,47,IDA,1012100,CANADIAN WHISKIES,65,JIM BEAM BRANDS,15247,WINDSOR CANADIAN,12,1000,6.29,9.44,3,28.32,3,0.79
INV-17911900040,03/05/2019,2549,HY-VEE FOOD STORE / INDIANOLA,910 N JEFFERSON,INDIANOLA,50125,,91,WARREN,1012100,CANADIAN WHISKIES,65,JIM BEAM BRANDS,10628,CANADIAN CLUB WHISKY,6,1750,14.5,21.75,6,130.5,10.5,2.77
INV-17866600026,03/01/2019,3629,WAL-MART 1965 / COUNCIL BLUFFS,3200 MANAWA DR,COUNCIL BLUFFS,51503,,78,POTTAWATTAMIE,1012100,CANADIAN WHISKIES,115,CONSTELLATION BRANDS INC,10550,BLACK VELVET TOASTED CARAMEL,12,750,6.75,10.13,12,121.56,9,2.37
INV-18371700014,03/26/2019,3993,NEW STAR LIQUOR / W 4TH S / WATERLOO,1625 WEST 4TH ST,WATERLOO,50701,,7,BLACK HAWK,1011100,BLENDED WHISKIES,297,LAIRD & COMPANY,23826,FIVE STAR,12,750,3.5,5.25,12,63,9,2.37
INV-18260300033,03/20/2019,3757,WAL-MART 3590 / SIOUX CITY,3101 FLOYD BLVD,SIOUX CITY,51108,POINT (-96.37287 42.530454),97,WOODBURY,1081200,CREAM LIQUEURS,260,DIAGEO AMERICAS,68036,BAILEYS ORIGINAL IRISH CREAM,12,750,13,19.5,12,234,9,2.37
INV-18744700079,04/13/2019,2524,HY-VEE FOOD STORE / DUBUQUE,3500 DODGE ST,DUBUQUE,52001,,31,DUBUQUE,1062500,FLAVORED RUM,370,PERNOD RICARD USA,42717,MALIBU COCONUT RUM,12,1000,10.99,16.49,24,395.76,24,6.34
INV-18121400059,03/13/2019,5257,MAD AVE QUIK SHOP,"405, MADISON AVE",OTTUMWA,52501,,90,WAPELLO,1011200,STRAIGHT BOURBON WHISKIES,55,SAZERAC NORTH AMERICA,21598,TEN HIGH,6,1750,9.24,13.86,6,83.16,10.5,2.77
